,"DataURL","Title","DataContent","DataSourceDepartment","DataUpdateFrequency"
"DataSet35","http://mspallowances.scottish.parliament.uk/MSPAllowances/","Scottish Parliament MSP Allowances","MSPs' Expenses and Expenditure","Scottish Parliament",
"DataSet36","http://www.scotland.gov.uk/About/14944/hospitality","Scottish Government Ministerial Hospitality","Ministerial Hospitality
The government has adopted the practice of publishing on a quarterly basis the names of guests who have accepted an invitation to attend hospitality events hosted by Scottish Ministers.","Scottish Government",
"DataSet37","http://www.scotland.gov.uk/About/Directorates/expenditure/reports","Scottish Government expenditure over £25,000","Details of Scottish Government items of expenditure over £25,000","Scottish Government",
"DataSet38","http://www.scotland.gov.uk/Publications/2010/03/23110606/18","Scottish Local Government Financial Statistics","Scottish Local Government Financial Statistics","Scottish Government",
"DataSet39","http://www.scotland.gov.uk/About/Directorates/high-earners","Scottish Government Disclosure of High Earners","Disclosure of High Earners
The Scottish Government now publishes a list of names, job titles and salaries of high earners (those earning £150,000 or more per year) in Scottish NDPBs and Public Corporations.","Scottish Government",
"DataSet4","http://www.scotlandsplaces.gov.uk/","Scotlands Places","You can now find information about Scottish places past and present, selected from the holdings of the partner organisations. This includes digital copies of:

Maps and plans of cities, towns, villages, farms, roads, canals, harbours, churches, schools, public buildings, private houses, mines and quarries 
Photographs of the built environment in The Royal Commission on the Ancient and Historical Monuments of Scotland 
Archaeological reports on historic and prehistoric sites 
Manuscript records and printed books from millions of pages in government and private records, including tax rolls, owners of land and heritages, and the annual reports of county Medical Officers of Health","RCAHMS","Other"
"DataSet5","http://www.snh.gov.uk/publications-data-and-research/environmental-data/facts-and-figures/","Scottish National Heritage Facts","Various SNH facts and figures","Scottish Natural Heritage","Other"
"DataSet6","http://gateway.snh.gov.uk/pls/htmldb_ddtdb1/f?p=101:1:9566349954749131754","Scottish Natural Spaces","Natural Spaces provides an online data download facility giving access to a wide range of datasets including protected areas, habitats and species, landscape, open space and access. A simple one-off registration gives you instant access to data and provides you with a personal bookshelf showing all datasets downloaded along with details of any updates since your last visit. 

Data is available as ESRI Shapefiles or the OGC standard formats GML and KML.","Scottish Natural Heritage","Other"
"DataSet7","http://www.improvementservice.org.uk/national-gazetteer/","Scotland National Address Gazetteer","National Address Gazetteer","Improvement Service","Other"
"DataSet8","http://www.sepa.org.uk/about_us/publications.aspx","Scottish Environment Protection Agency","A key role for SEPA is to monitor and report on the state of Scotland’s environment. We publish a wide range of environmental information and advise Ministers, partner bodies, regulated industry and the public on environmental issues.

The navigation on the left highlights our corporate publications. Throughout the website you can find specialist brochures, publications and reports","Scottish Environmental Protection Agency","Other"
"DataSet9","http://trafficscotland.org/","Traffic Scotland","Real time and future traffic information for Scotland","Traffic Scotland","Other"
